           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
 4282978.142875 [0005]  <idle>                              0.002      0.000     12.081 
 4282978.142878 [0005]  rcu_sched[8]                       12.081      0.003      0.003 
 4282978.143037 [0003]  <idle>                              0.000      0.000      0.000 
 4282978.143047 [0003]  fzf[31954/24425]                    0.000      0.003      0.010 
 4282978.143982 [0004]  <idle>                              0.006      0.000      6.248 
 4282978.143990 [0004]  fzf[24426/24425]                    0.000      0.002      0.007 
 4282978.144166 [0003]  <idle>                              0.010      0.000      1.118 
 4282978.144180 [0003]  fzf[31954/24425]                    1.118      0.003      0.014 
 4282978.144205 [0004]  <idle>                              0.007      0.000      0.215 
 4282978.144214 [0004]  fzf[24438/24425]                    0.000      0.031      0.008 
 4282978.148402 [0006]  <idle>                              0.161      0.000     17.291 
 4282978.148412 [0000]  <idle>                              0.067      0.000     17.651 
 4282978.148425 [0000]  containerd[1778/1459]               0.000      0.001      0.012 
 4282978.148427 [0006]  containerd[2012/1459]               0.000      0.002      0.025 
 4282978.148445 [0002]  <idle>                              0.007      0.000     11.702 
 4282978.148453 [0001]  <idle>                              0.006      0.000     21.557 
 4282978.148458 [0008]  <idle>                              0.007      0.000     11.715 
 4282978.148463 [0001]  containerd[1869/1459]               0.000      0.031      0.009 
 4282978.148468 [0008]  containerd[22552/1459]              0.000      0.001      0.010 
 4282978.148473 [0002]  containerd[14440/1459]              0.000      0.027      0.027 
 4282978.148493 [0011]  <idle>                              0.003      0.000     17.969 
 4282978.148494 [0000]  <idle>                              0.012      0.000      0.068 
 4282978.148498 [0000]  containerd[1778/1459]               0.068      0.001      0.004 
 4282978.148508 [0000]  <idle>                              0.004      0.000      0.010 
 4282978.148510 [0011]  containerd[12112/1459]              0.000      0.027      0.016 
 4282978.148514 [0000]  containerd[1778/1459]               0.010      0.004      0.005 
 4282978.148585 [0000]  <idle>                              0.005      0.000      0.071 
 4282978.148589 [0000]  containerd[1778/1459]               0.071      0.001      0.003 
 4282978.149746 [0006]  <idle>                              0.025      0.000      1.318 
 4282978.149814 [0006]  redis-server[12225]                 0.000      0.002      0.067 
 4282978.150862 [0005]  <idle>                              0.003      0.000      7.983 
 4282978.150863 [0002]  <idle>                              0.027      0.000      2.389 
 4282978.150866 [0005]  rcu_sched[8]                        7.983      0.004      0.004 
 4282978.150911 [0002]  node[31768]                         0.000      0.005      0.048 
 4282978.152373 [0008]  <idle>                              0.010      0.000      3.904 
 4282978.152424 [0011]  <idle>                              0.016      0.000      3.913 
 4282978.152424 [0008]  irq/126-nvidia[2030]                0.000      0.002      0.050 
 4282978.152451 [0011]  nv_queue[2032]                      0.000      0.021      0.027 
 4282978.152950 [0004]  <idle>                              0.008      0.000      8.735 
 4282978.152978 [0004]  gpg-agent[22065]                    0.000      0.003      0.028 
 4282978.154106 [0004]  <idle>                              0.028      0.000      1.128 
 4282978.154114 [0004]  fzf[24426/24425]                   10.115      0.003      0.007 
 4282978.154861 [0000]  <idle>                              0.003      0.000      6.272 
 4282978.154865 [0000]  rcu_sched[8]                        3.994      0.002      0.004 
 4282978.157312 [0010]  <idle>                              0.002      0.000     29.452 
 4282978.157324 [0010]  fzf[20432/5655]                     0.000      0.004      0.012 
 4282978.158254 [0002]  <idle>                              0.048      0.000      7.342 
 4282978.158263 [0002]  fzf[5656/5655]                      0.000      0.003      0.009 
 4282978.158437 [0010]  <idle>                              0.012      0.000      1.112 
 4282978.158457 [0010]  fzf[20432/5655]                     1.112      0.004      0.020 
 4282978.158478 [0007]  <idle>                              0.164      0.000     27.553 
 4282978.158491 [0007]  fzf[5657/5655]                      0.000      0.028      0.013 
 4282978.158842 [0007]  <idle>                              0.013      0.000      0.351 
 4282978.158927 [0007]  chronyd[18178]                      0.000      0.039      0.085 
 4282978.162855 [0000]  <idle>                              0.004      0.000      7.989 
 4282978.162862 [0000]  rcu_sched[8]                        7.989      0.006      0.006 
 4282978.164640 [0002]  <idle>                              0.009      0.000      6.376 
 4282978.164656 [0002]  fzf[21312/21277]                    0.000      0.005      0.015 
 4282978.165586 [0001]  <idle>                              0.009      0.000     17.123 
 4282978.165597 [0001]  fzf[21278/21277]                    0.000      0.005      0.010 
 4282978.165763 [0002]  <idle>                              0.015      0.000      1.107 
 4282978.165786 [0002]  fzf[21312/21277]                    1.107      0.005      0.022 
 4282978.165811 [0004]  <idle>                              0.007      0.000     11.697 
 4282978.165817 [0001]  <idle>                              0.010      0.000      0.219 
 4282978.165824 [0004]  fzf[21286/21277]                    0.000      0.034      0.013 
 4282978.165912 [0001]  docker-compose[12141]               0.000      0.003      0.094 
 4282978.168373 [0002]  <idle>                              0.022      0.000      2.586 
 4282978.168385 [0002]  fzf[5656/5655]                     10.109      0.006      0.012 
 4282978.170864 [0000]  <idle>                              0.006      0.000      8.002 
 4282978.170872 [0000]  rcu_sched[8]                        8.002      0.008      0.007 
 4282978.175700 [0001]  <idle>                              0.094      0.000      9.788 
 4282978.175716 [0001]  fzf[21278/21277]                   10.102      0.008      0.015 
 4282978.178865 [0000]  <idle>                              0.007      0.000      7.992 
 4282978.178879 [0000]  rcu_sched[8]                        7.992      0.015      0.014 
 4282978.186874 [0000]  <idle>                              0.014      0.000      7.994 
 4282978.186889 [0000]  rcu_sched[8]                        7.994      0.018      0.014 
 4282978.194870 [0000]  <idle>                              0.014      0.000      7.980 
 4282978.194887 [0000]  rcu_sched[8]                        7.980      0.020      0.017 
 4282978.202873 [0000]  <idle>                              0.017      0.000      7.986 
 4282978.202888 [0000]  rcu_sched[8]                        7.986      0.020      0.014 
 4282978.205003 [0003]  <idle>                              0.014      0.000     60.822 
 4282978.206880 [0007]  <idle>                              0.085      0.000     47.952 
 4282978.206907 [0007]  lighttpd[1744]                      0.000      0.023      0.027 
 4282978.210691 [0010]  <idle>                              0.020      0.000     52.233 
 4282978.210879 [0004]  <idle>                              0.013      0.000     45.055 
 4282978.210906 [0000]  <idle>                              0.014      0.000      8.018 
