           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
 4282978.364335 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.364341 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.364344 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.364346 [0000]  compiz[22415]                       0.005      0.001      0.011 
 4282978.364352 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.364358 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.364364 [0006]  <idle>                              0.014      0.000      0.005 
 4282978.364366 [0000]  compiz[22415]                       0.005      0.000      0.014 
 4282978.364373 [0000]  <idle>                              0.014      0.000      0.006 
 4282978.364379 [0006]  Xorg[1930]                          0.005      0.001      0.015 
 4282978.364404 [0006]  <idle>                              0.015      0.000      0.024 
 4282978.364406 [0000]  compiz[22415]                       0.006      0.001      0.033 
 4282978.364415 [0000]  <idle>                              0.033      0.000      0.008 
 4282978.364422 [0006]  Xorg[1930]                          0.024      0.001      0.017 
 4282978.364428 [0006]  <idle>                              0.017      0.000      0.006 
 4282978.364430 [0000]  compiz[22415]                       0.008      0.001      0.015 
 4282978.364437 [0000]  <idle>                              0.015      0.000      0.006 
 4282978.364448 [0006]  Xorg[1930]                          0.006      0.001      0.019 
 4282978.364450 [0006]  <idle>                              0.019      0.000      0.002 
 4282978.364452 [0000]  compiz[22415]                       0.006      0.001      0.015 
 4282978.364459 [0000]  <idle>                              0.015      0.000      0.006 
 4282978.364465 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.364482 [0006]  <idle>                              0.014      0.000      0.016 
 4282978.364483 [0000]  compiz[22415]                       0.006      0.001      0.024 
 4282978.364492 [0000]  <idle>                              0.024      0.000      0.008 
 4282978.364503 [0006]  Xorg[1930]                          0.016      0.001      0.020 
 4282978.364515 [0006]  <idle>                              0.020      0.000      0.011 
 4282978.364516 [0000]  compiz[22415]                       0.008      0.001      0.024 
 4282978.364524 [0000]  <idle>                              0.024      0.000      0.007 
 4282978.364532 [0000]  compiz[22415]                       0.007      0.001      0.008 
 4282978.364535 [0000]  <idle>                              0.008      0.000      0.002 
 4282978.364541 [0006]  Xorg[1930]                          0.011      0.001      0.026 
 4282978.364546 [0006]  <idle>                              0.026      0.000      0.004 
 4282978.364548 [0000]  compiz[22415]                       0.002      0.000      0.012 
 4282978.364554 [0000]  <idle>                              0.012      0.000      0.006 
 4282978.364561 [0006]  Xorg[1930]                          0.004      0.001      0.015 
 4282978.364564 [0006]  <idle>                              0.015      0.000      0.002 
 4282978.364566 [0000]  compiz[22415]                       0.006      0.001      0.012 
 4282978.364572 [0000]  <idle>                              0.012      0.000      0.005 
 4282978.364579 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.364581 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.364583 [0000]  compiz[22415]                       0.005      0.001      0.011 
 4282978.364589 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.364596 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.364599 [0006]  <idle>                              0.014      0.000      0.003 
 4282978.364600 [0000]  compiz[22415]                       0.005      0.001      0.011 
 4282978.364607 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.364613 [0006]  Xorg[1930]                          0.003      0.001      0.014 
 4282978.364616 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.364618 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.364624 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.364631 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.364633 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.364635 [0000]  compiz[22415]                       0.005      0.001      0.011 
 4282978.364641 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.364648 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.364651 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.364653 [0000]  compiz[22415]                       0.005      0.001      0.011 
 4282978.364659 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.364666 [0006]  Xorg[1930]                          0.002      0.001      0.014 
 4282978.364668 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.364670 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.364676 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.364683 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.364686 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.364688 [0000]  compiz[22415]                       0.006      0.000      0.011 
 4282978.364694 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.364700 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.364703 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.364705 [0000]  compiz[22415]                       0.005      0.001      0.011 
 4282978.364711 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.364718 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.364720 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.364722 [0000]  compiz[22415]                       0.005      0.000      0.011 
 4282978.364728 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.364735 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.364739 [0006]  <idle>                              0.014      0.000      0.003 
 4282978.364741 [0000]  compiz[22415]                       0.005      0.000      0.012 
 4282978.364747 [0000]  <idle>                              0.012      0.000      0.006 
 4282978.364754 [0006]  Xorg[1930]                          0.003      0.001      0.014 
 4282978.364756 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.364758 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.364764 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.364771 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.364773 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.364775 [0000]  compiz[22415]                       0.005      0.000      0.011 
 4282978.364782 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.364788 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.364801 [0006]  <idle>                              0.014      0.000      0.012 
 4282978.364803 [0000]  compiz[22415]                       0.006      0.001      0.021 
 4282978.364810 [0000]  <idle>                              0.021      0.000      0.007 
 4282978.364817 [0006]  Xorg[1930]                          0.012      0.001      0.016 
 4282978.364820 [0006]  <idle>                              0.016      0.000      0.002 
 4282978.364822 [0000]  compiz[22415]                       0.007      0.001      0.011 
 4282978.364828 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.364835 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.364837 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.364839 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.364845 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.364852 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.364855 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.364856 [0000]  compiz[22415]                       0.005      0.001      0.011 
 4282978.364863 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.364870 [0006]  Xorg[1930]                          0.002      0.001      0.014 
 4282978.364873 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.364874 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.364881 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.364888 [0006]  Xorg[1930]                          0.002      0.001      0.014 
 4282978.364893 [0006]  <idle>                              0.014      0.000      0.005 
 4282978.364895 [0000]  compiz[22415]                       0.006      0.001      0.014 
 4282978.364902 [0000]  <idle>                              0.014      0.000      0.006 
 4282978.364908 [0006]  Xorg[1930]                          0.005      0.001      0.014 
 4282978.364931 [0006]  <idle>                              0.014      0.000      0.023 
 4282978.364934 [0000]  compiz[22415]                       0.006      0.001      0.032 
 4282978.364942 [0000]  <idle>                              0.032      0.000      0.008 
 4282978.364949 [0006]  Xorg[1930]                          0.023      0.001      0.017 
 4282978.364955 [0006]  <idle>                              0.017      0.000      0.006 
 4282978.364957 [0000]  compiz[22415]                       0.008      0.001      0.015 
 4282978.364964 [0000]  <idle>                              0.015      0.000      0.006 
 4282978.364975 [0006]  Xorg[1930]                          0.006      0.001      0.019 
 4282978.364978 [0006]  <idle>                              0.019      0.000      0.002 
 4282978.364980 [0000]  compiz[22415]                       0.006      0.001      0.015 
 4282978.364986 [0000]  <idle>                              0.015      0.000      0.005 
 4282978.364992 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365009 [0006]  <idle>                              0.014      0.000      0.016 
 4282978.365011 [0000]  compiz[22415]                       0.005      0.000      0.024 
 4282978.365018 [0000]  <idle>                              0.024      0.000      0.007 
 4282978.365029 [0006]  Xorg[1930]                          0.016      0.001      0.020 
 4282978.365041 [0006]  <idle>                              0.020      0.000      0.011 
 4282978.365043 [0000]  compiz[22415]                       0.007      0.001      0.025 
 4282978.365051 [0000]  <idle>                              0.025      0.000      0.007 
 4282978.365056 [0000]  compiz[22415]                       0.007      0.001      0.005 
 4282978.365058 [0000]  <idle>                              0.005      0.000      0.002 
 4282978.365069 [0006]  Xorg[1930]                          0.011      0.001      0.027 
 4282978.365072 [0006]  <idle>                              0.027      0.000      0.002 
 4282978.365074 [0000]  compiz[22415]                       0.002      0.000      0.015 
 4282978.365080 [0000]  <idle>                              0.015      0.000      0.006 
 4282978.365087 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365089 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365091 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.365097 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.365104 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365107 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365109 [0000]  compiz[22415]                       0.006      0.000      0.011 
 4282978.365115 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365121 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365124 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365126 [0000]  compiz[22415]                       0.005      0.001      0.011 
 4282978.365132 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365139 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365141 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365143 [0000]  compiz[22415]                       0.005      0.000      0.011 
 4282978.365149 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.365154 [0002]  <idle>                              0.006      0.000      6.293 
 4282978.365156 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365159 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365161 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.365166 [0002]  fzf[21312/21277]                   99.140      0.002      0.011 
 4282978.365167 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365174 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365176 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365178 [0000]  compiz[22415]                       0.005      0.000      0.011 
 4282978.365184 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.365191 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365194 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365195 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.365202 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.365208 [0006]  Xorg[1930]                          0.002      0.001      0.014 
 4282978.365211 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365213 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.365219 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365226 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365228 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365230 [0000]  compiz[22415]                       0.005      0.001      0.011 
 4282978.365236 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.365243 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365245 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365247 [0000]  compiz[22415]                       0.006      0.000      0.011 
 4282978.365253 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365260 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365263 [0006]  <idle>                              0.014      0.000      0.003 
 4282978.365266 [0000]  compiz[22415]                       0.005      0.000      0.012 
 4282978.365272 [0000]  <idle>                              0.012      0.000      0.006 
 4282978.365278 [0006]  Xorg[1930]                          0.003      0.001      0.014 
 4282978.365281 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365283 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.365289 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.365296 [0006]  Xorg[1930]                          0.002      0.000      0.015 
 4282978.365299 [0006]  <idle>                              0.015      0.000      0.002 
 4282978.365301 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.365307 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.365313 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365325 [0006]  <idle>                              0.014      0.000      0.011 
 4282978.365327 [0000]  compiz[22415]                       0.006      0.001      0.020 
 4282978.365334 [0000]  <idle>                              0.020      0.000      0.007 
 4282978.365341 [0006]  Xorg[1930]                          0.011      0.001      0.016 
 4282978.365344 [0006]  <idle>                              0.016      0.000      0.002 
 4282978.365346 [0000]  compiz[22415]                       0.007      0.001      0.011 
 4282978.365352 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365359 [0006]  Xorg[1930]                          0.002      0.001      0.014 
 4282978.365362 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365363 [0000]  compiz[22415]                       0.005      0.001      0.011 
 4282978.365370 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.365377 [0006]  Xorg[1930]                          0.002      0.001      0.015 
 4282978.365380 [0006]  <idle>                              0.015      0.000      0.002 
 4282978.365381 [0000]  compiz[22415]                       0.006      0.000      0.011 
 4282978.365388 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.365395 [0006]  Xorg[1930]                          0.002      0.001      0.015 
 4282978.365397 [0006]  <idle>                              0.015      0.000      0.002 
 4282978.365399 [0000]  compiz[22415]                       0.006      0.000      0.011 
 4282978.365405 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.365412 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365417 [0006]  <idle>                              0.014      0.000      0.005 
 4282978.365419 [0000]  compiz[22415]                       0.006      0.000      0.013 
 4282978.365425 [0000]  <idle>                              0.013      0.000      0.006 
 4282978.365432 [0006]  Xorg[1930]                          0.005      0.001      0.014 
 4282978.365455 [0006]  <idle>                              0.014      0.000      0.022 
 4282978.365457 [0000]  compiz[22415]                       0.006      0.000      0.031 
 4282978.365465 [0000]  <idle>                              0.031      0.000      0.008 
 4282978.365472 [0006]  Xorg[1930]                          0.022      0.001      0.017 
 4282978.365478 [0006]  <idle>                              0.017      0.000      0.006 
 4282978.365480 [0000]  compiz[22415]                       0.008      0.001      0.015 
 4282978.365487 [0000]  <idle>                              0.015      0.000      0.006 
 4282978.365498 [0006]  Xorg[1930]                          0.006      0.001      0.019 
 4282978.365501 [0006]  <idle>                              0.019      0.000      0.002 
 4282978.365502 [0000]  compiz[22415]                       0.006      0.001      0.015 
 4282978.365509 [0000]  <idle>                              0.015      0.000      0.006 
 4282978.365516 [0006]  Xorg[1930]                          0.002      0.001      0.014 
 4282978.365531 [0006]  <idle>                              0.014      0.000      0.015 
 4282978.365533 [0000]  compiz[22415]                       0.006      0.001      0.023 
 4282978.365541 [0000]  <idle>                              0.023      0.000      0.007 
 4282978.365552 [0006]  Xorg[1930]                          0.015      0.001      0.020 
 4282978.365563 [0006]  <idle>                              0.020      0.000      0.011 
 4282978.365566 [0000]  compiz[22415]                       0.007      0.001      0.025 
 4282978.365573 [0000]  <idle>                              0.025      0.000      0.007 
 4282978.365582 [0000]  compiz[22415]                       0.007      0.001      0.008 
 4282978.365584 [0000]  <idle>                              0.008      0.000      0.002 
 4282978.365590 [0006]  Xorg[1930]                          0.011      0.001      0.026 
 4282978.365594 [0006]  <idle>                              0.026      0.000      0.004 
 4282978.365597 [0000]  compiz[22415]                       0.002      0.000      0.012 
 4282978.365603 [0000]  <idle>                              0.012      0.000      0.006 
 4282978.365610 [0006]  Xorg[1930]                          0.004      0.001      0.015 
 4282978.365612 [0006]  <idle>                              0.015      0.000      0.002 
 4282978.365615 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.365621 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365628 [0006]  Xorg[1930]                          0.002      0.001      0.015 
 4282978.365631 [0006]  <idle>                              0.015      0.000      0.002 
 4282978.365632 [0000]  compiz[22415]                       0.005      0.000      0.011 
 4282978.365639 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.365645 [0006]  Xorg[1930]                          0.002      0.001      0.014 
 4282978.365648 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365650 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.365656 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.365663 [0006]  Xorg[1930]                          0.002      0.001      0.014 
 4282978.365666 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365668 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.365674 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.365681 [0006]  Xorg[1930]                          0.002      0.001      0.014 
 4282978.365684 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365686 [0000]  compiz[22415]                       0.006      0.000      0.011 
 4282978.365691 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365698 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365701 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365703 [0000]  compiz[22415]                       0.005      0.001      0.011 
 4282978.365709 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365715 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365718 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365720 [0000]  compiz[22415]                       0.005      0.000      0.011 
 4282978.365726 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.365733 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365735 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365737 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.365743 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365750 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365753 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365755 [0000]  compiz[22415]                       0.005      0.001      0.011 
 4282978.365761 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365767 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365770 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365772 [0000]  compiz[22415]                       0.005      0.000      0.011 
 4282978.365778 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365784 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365788 [0006]  <idle>                              0.014      0.000      0.003 
 4282978.365790 [0000]  compiz[22415]                       0.005      0.000      0.012 
 4282978.365797 [0000]  <idle>                              0.012      0.000      0.006 
 4282978.365803 [0006]  Xorg[1930]                          0.003      0.000      0.015 
 4282978.365806 [0006]  <idle>                              0.015      0.000      0.002 
 4282978.365808 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.365814 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365821 [0006]  Xorg[1930]                          0.002      0.001      0.014 
 4282978.365823 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365825 [0000]  compiz[22415]                       0.005      0.001      0.011 
 4282978.365831 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365838 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365849 [0006]  <idle>                              0.014      0.000      0.011 
 4282978.365851 [0000]  compiz[22415]                       0.005      0.001      0.020 
 4282978.365858 [0000]  <idle>                              0.020      0.000      0.007 
 4282978.365865 [0006]  Xorg[1930]                          0.011      0.001      0.015 
 4282978.365868 [0006]  <idle>                              0.015      0.000      0.002 
 4282978.365870 [0000]  compiz[22415]                       0.007      0.001      0.011 
 4282978.365876 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365883 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365885 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365887 [0000]  compiz[22415]                       0.005      0.000      0.011 
 4282978.365893 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365900 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365903 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365905 [0000]  compiz[22415]                       0.005      0.001      0.011 
 4282978.365911 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.365917 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.365920 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.365922 [0000]  compiz[22415]                       0.005      0.000      0.011 
 4282978.365928 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.365935 [0006]  Xorg[1930]                          0.002      0.001      0.014 
 4282978.365940 [0006]  <idle>                              0.014      0.000      0.005 
 4282978.365942 [0000]  compiz[22415]                       0.006      0.001      0.013 
 4282978.365948 [0000]  <idle>                              0.013      0.000      0.006 
 4282978.365955 [0006]  Xorg[1930]                          0.005      0.001      0.015 
 4282978.365977 [0006]  <idle>                              0.015      0.000      0.022 
 4282978.365979 [0000]  compiz[22415]                       0.006      0.001      0.031 
 4282978.365988 [0000]  <idle>                              0.031      0.000      0.008 
 4282978.365995 [0006]  Xorg[1930]                          0.022      0.001      0.017 
 4282978.366001 [0006]  <idle>                              0.017      0.000      0.006 
 4282978.366003 [0000]  compiz[22415]                       0.008      0.001      0.015 
 4282978.366010 [0000]  <idle>                              0.015      0.000      0.006 
 4282978.366021 [0006]  Xorg[1930]                          0.006      0.001      0.019 
 4282978.366024 [0006]  <idle>                              0.019      0.000      0.002 
 4282978.366026 [0000]  compiz[22415]                       0.006      0.001      0.015 
 4282978.366032 [0000]  <idle>                              0.015      0.000      0.005 
 4282978.366038 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.366054 [0006]  <idle>                              0.014      0.000      0.015 
 4282978.366056 [0000]  compiz[22415]                       0.005      0.000      0.024 
 4282978.366064 [0000]  <idle>                              0.024      0.000      0.007 
 4282978.366075 [0006]  Xorg[1930]                          0.015      0.001      0.021 
 4282978.366086 [0006]  <idle>                              0.021      0.000      0.011 
 4282978.366088 [0000]  compiz[22415]                       0.007      0.001      0.024 
 4282978.366096 [0000]  <idle>                              0.024      0.000      0.007 
 4282978.366099 [0001]  <idle>                              0.003      0.000     27.577 
 4282978.366104 [0000]  compiz[22415]                       0.007      0.001      0.008 
 4282978.366106 [0000]  <idle>                              0.008      0.000      0.002 
 4282978.366107 [0001]  fzf[21278/21277]                   90.141      0.005      0.007 
 4282978.366113 [0006]  Xorg[1930]                          0.011      0.001      0.026 
 4282978.366116 [0006]  <idle>                              0.026      0.000      0.003 
 4282978.366118 [0000]  compiz[22415]                       0.002      0.000      0.012 
 4282978.366124 [0000]  <idle>                              0.012      0.000      0.006 
 4282978.366128 [0002]  <idle>                              0.011      0.000      0.962 
 4282978.366131 [0006]  Xorg[1930]                          0.003      0.001      0.015 
 4282978.366134 [0006]  <idle>                              0.015      0.000      0.002 
 4282978.366136 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.366142 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.366149 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.366151 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.366153 [0000]  compiz[22415]                       0.006      0.000      0.011 
 4282978.366159 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.366166 [0006]  Xorg[1930]                          0.002      0.001      0.014 
 4282978.366169 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.366171 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.366177 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.366183 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.366186 [0006]  <idle>                              0.014      0.000      0.003 
 4282978.366188 [0000]  compiz[22415]                       0.006      0.000      0.011 
 4282978.366195 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.366199 [0002]  docker-compose[12141]             100.089      0.030      0.071 
 4282978.366202 [0006]  Xorg[1930]                          0.003      0.001      0.015 
 4282978.366204 [0006]  <idle>                              0.015      0.000      0.002 
 4282978.366206 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.366212 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.366216 [0002]  <idle>                              0.071      0.000      0.017 
 4282978.366219 [0006]  Xorg[1930]                          0.002      0.001      0.014 
 4282978.366222 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.366224 [0000]  compiz[22415]                       0.005      0.000      0.011 
 4282978.366229 [0002]  fzf[21312/21277]                    1.050      0.001      0.012 
 4282978.366230 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.366236 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.366239 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.366241 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.366247 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.366254 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.366254 [0004]  <idle>                              0.004      0.000     11.631 
 4282978.366257 [0006]  <idle>                              0.014      0.000      0.003 
 4282978.366258 [0000]  compiz[22415]                       0.005      0.000      0.011 
 4282978.366262 [0004]  fzf[21286/21277]                  100.209      0.030      0.007 
 4282978.366265 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.366272 [0006]  Xorg[1930]                          0.003      0.001      0.014 
 4282978.366274 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.366276 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.366282 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.366289 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.366292 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.366294 [0000]  compiz[22415]                       0.006      0.000      0.011 
 4282978.366300 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.366306 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.366310 [0006]  <idle>                              0.014      0.000      0.004 
 4282978.366312 [0000]  compiz[22415]                       0.006      0.000      0.012 
 4282978.366318 [0000]  <idle>                              0.012      0.000      0.006 
 4282978.366325 [0006]  Xorg[1930]                          0.004      0.001      0.014 
 4282978.366328 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.366330 [0000]  compiz[22415]                       0.006      0.001      0.011 
 4282978.366335 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.366342 [0006]  Xorg[1930]                          0.002      0.000      0.014 
 4282978.366345 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.366347 [0000]  compiz[22415]                       0.005      0.000      0.011 
 4282978.366353 [0000]  <idle>                              0.011      0.000      0.006 
 4282978.366360 [0006]  Xorg[1930]                          0.002      0.001      0.014 
 4282978.366371 [0006]  <idle>                              0.014      0.000      0.011 
 4282978.366373 [0000]  compiz[22415]                       0.006      0.001      0.020 
 4282978.366381 [0000]  <idle>                              0.020      0.000      0.007 
 4282978.366387 [0006]  Xorg[1930]                          0.011      0.001      0.016 
 4282978.366390 [0006]  <idle>                              0.016      0.000      0.002 
 4282978.366392 [0000]  compiz[22415]                       0.007      0.001      0.011 
 4282978.366398 [0000]  <idle>                              0.011      0.000      0.005 
 4282978.366405 [0006]  Xorg[1930]                          0.002      0.001      0.014 
 4282978.366408 [0006]  <idle>                              0.014      0.000      0.002 
